tp,time.s,gas,v2.mV,v3.mV
4558,954.2940063476562,H2,533.3572289248509,134.83953620491783
4559,954.5029907226562,H2,519.857420213679,131.29386634116568
4560,954.7119750976562,H2,499.44687100650407,126.20093329673342
4561,954.9210205078125,H2,473.25224486683317,119.83865123109494
4562,955.1300048828125,H2,442.79907416940256,112.8011588899055
4563,955.3389892578125,H2,409.80665774493764,104.6657899250958
4564,955.5479736328125,H2,375.8429451971195,96.79522868888091
4565,955.7570190429688,H2,342.4491383847862,89.07635115813551
4566,955.9660034179688,H2,310.80617299486346,81.7565713240227
4567,956.1749877929688,H2,281.69685414680646,75.24840055208593
4568,956.3839721679688,H2,255.73212085610862,69.40987218535221
4569,956.593017578125,H2,233.13503413034366,64.2394205108654
4570,956.802001953125,H2,213.9235101016841,60.06360415943745
4571,957.010986328125,H2,197.91388581671177,56.11044820500699
4572,957.219970703125,H2,184.80747235989327,52.84639639467892
4573,957.4290161132812,H2,174.31558159838045,50.056054239149496
4574,957.6380004882812,H2,165.99415717652798,48.01570660668675
4575,957.8469848632812,H2,159.49481934416477,46.24492364010757
4576,958.0560302734375,H2,154.49268951210027,45.33320621603587
4577,958.2650146484375,H2,150.7362615988376,44.44419017979051
4578,958.4739990234375,H2,147.93024666165743,43.33734958134428
4579,958.6829833984375,H2,145.86797028721344,42.709679386752406
4580,958.8920288085938,H2,144.3716613731598,42.65796635234753
4581,959.1010131835938,H2,143.30071401614063,42.34897153859352
4582,959.3099975585938,H2,142.49708302511266,42.22286598614045
4583,959.5189819335938,H2,141.8784976898092,42.15144001525839
4584,959.72802734375,H2,141.37752262452062,41.91991214891977
4585,959.93701171875,H2,140.89368693510818,41.84553446842909
4586,960.14599609375,H2,140.4367168469166,41.67668005599867
4587,960.35498046875,H2,139.95776183469167,41.41851651326478
4588,960.5640258789062,H2,139.47637272990653,41.53827378954755
4589,960.7730102539062,H2,138.9349812134043,41.66221639024093
4590,960.9819946289062,H2,138.37293565734777,41.50523200829803
4591,961.1909790039062,H2,137.80131106780712,40.93985320751115
4592,961.4000244140625,H2,137.23714563514,41.03680766355999
4593,961.6090087890625,H2,136.7022635337357,41.13173291835448
4594,961.8179931640625,H2,136.21841306635352,40.92129142456269
4595,962.0269775390625,H2,135.7176079480904,40.99142040038129
4596,962.2360229492188,H2,135.3185648377626,40.95222843721524
4597,962.4450073242188,H2,134.9872239807788,40.76665942468149
4598,962.6539916992188,H2,134.7112730821427,40.61372529576435
4599,962.8629760742188,H2,134.48872888692276,40.459132901474405
4600,963.072021484375,H2,134.36776744487534,40.38083982997542
4601,963.281005859375,H2,134.26861347260876,40.250317569913044
4602,963.489990234375,H2,134.24685211517274,39.8281697871562
4603,963.698974609375,H2,134.2395986611874,39.889906298366085
4604,963.9080200195312,H2,134.29521271526002,40.04636867673861
4605,964.1170043945312,H2,134.3484178940586,40.21528508872307
4606,964.3259887695312,H2,134.43550016969118,40.09167734456043
4607,964.5349731445312,H2,134.51050684565803,40.343761554970214
4608,964.7440185546875,H2,134.54438664205404,40.292272391160175
4609,964.9530029296875,H2,134.54922690831984,40.15141402391353
4610,965.1619873046875,H2,134.54196653661177,40.26138360273346
4611,965.3709716796875,H2,134.50566717007618,40.27785718369448
4612,965.5800170898438,H2,134.39679398452665,40.33346293712692
4613,965.7890014648438,H2,134.2927945101029,39.931071817980836
4614,965.9979858398438,H2,134.12568847931894,40.04225008389006
4615,966.2069702148438,H2,133.96125686394146,39.79524942066104
4616,966.416015625,H2,133.80174300244752,39.61498566111421
4617,966.625,H2,133.67065527934906,39.532684623127864
4618,966.833984375,H2,133.52083134712555,39.59235037275721
4619,967.0430297851562,H2,133.42662355489122,39.52239875852659
